test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,16168.15,0.737,2.335,3.807,8.047
SET,30721.96,0.332,0.567,1.727,4.103
GET,32733.22,0.305,0.391,1.359,5.007
INCR,33444.82,0.297,0.383,0.863,3.455
