test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,18450.19,0.660,1.871,3.719,4.207
SET,18298.26,0.670,1.927,3.951,6.231
GET,15540.02,0.825,2.335,4.047,7.151
INCR,19102.20,0.634,2.303,3.999,6.191
