phase,runs,get_rps_avg,get_p99_ms_avg,active_seen_count,cooldown_seen_count,recovery_seen_count,switch_latency_ms_avg,scheduler_update_evidence_count
quiet_pre,10,36213.814,0.409,0,0,10,,10
pressure_active,10,6385.350,3.465,10,10,10,1116.818,10
recovery,10,36136.128,0.421,0,0,10,,10
