test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,15026.30,0.851,1.975,3.751,4.367
SET,18993.35,0.634,1.831,3.863,6.159
GET,18850.14,0.639,2.663,4.103,6.335
INCR,16366.61,0.773,2.719,4.015,6.151
