t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,2,4,10036,10144
1605,3,3,6,6308,6308
3138,3,3,6,6372,6372
4680,3,4,7,6536,6536
6233,3,4,7,6796,6796
7963,3,4,7,7240,7240
