t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
4,2,2,4,11992,14040
1734,3,3,6,6232,6232
3267,3,3,6,6248,6248
4962,3,3,6,6380,6380
6624,4,4,8,7048,7048
