test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,28449.50,0.365,0.711,1.383,4.167
SET,32626.43,0.317,0.647,0.831,4.399
GET,33444.82,0.300,0.575,0.751,4.415
INCR,32206.12,0.322,0.647,0.791,4.191
