test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,36429.87,0.284,0.567,0.775,19.855
SET,43383.95,0.244,0.471,0.679,1.231
GET,40650.41,0.299,0.535,0.775,1.351
INCR,37664.78,0.289,0.599,0.807,1.335
