test,baseline_rps_avg,baseline_rps_min,baseline_rps_max,baseline_rps_std,default_noisy_rps_avg,default_noisy_rps_min,default_noisy_rps_max,default_noisy_rps_std,active_noisy_rps_avg,active_noisy_rps_min,active_noisy_rps_max,active_noisy_rps_std,baseline_p99_ms_avg,baseline_p99_ms_min,baseline_p99_ms_max,baseline_p99_ms_std,default_noisy_p99_ms_avg,default_noisy_p99_ms_min,default_noisy_p99_ms_max,default_noisy_p99_ms_std,active_noisy_p99_ms_avg,active_noisy_p99_ms_min,active_noisy_p99_ms_max,active_noisy_p99_ms_std
GET,32000.000,32000.000,32000.000,0.000,33333.330,33333.330,33333.330,0.000,34782.610,34782.610,34782.610,0.000,0.351,0.351,0.351,0.000,0.271,0.271,0.271,0.000,0.455,0.455,0.455,0.000
INCR,32000.000,32000.000,32000.000,0.000,34782.610,34782.610,34782.610,0.000,34782.610,34782.610,34782.610,0.000,0.375,0.375,0.375,0.000,0.287,0.287,0.287,0.000,0.487,0.487,0.487,0.000
PING_INLINE,27586.210,27586.210,27586.210,0.000,33333.330,33333.330,33333.330,0.000,28571.430,28571.430,28571.430,0.000,0.407,0.407,0.407,0.000,0.263,0.263,0.263,0.000,0.479,0.479,0.479,0.000
SET,32000.000,32000.000,32000.000,0.000,40000.000,40000.000,40000.000,0.000,30769.230,30769.230,30769.230,0.000,0.343,0.343,0.343,0.000,0.407,0.407,0.407,0.000,0.319,0.319,0.319,0.000
