test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,28735.63,0.343,0.855,1.479,3.103
SET,35587.19,0.272,0.351,0.503,1.119
GET,36496.35,0.263,0.335,0.391,1.119
INCR,35971.22,0.264,0.335,0.423,1.319
