test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,35523.98,36101.08,34590.11,0.567,0.455,0.583
INCR,33456.00,30229.75,35958.29,0.615,0.519,0.607
SET,36429.88,31847.13,35410.77,0.495,0.495,0.559
PING_INLINE,36192.54,42643.92,35087.72,0.543,0.495,0.567
