test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,26666.67,0.192,0.359,0.439,0.551
SET,27586.21,0.179,0.303,0.423,0.551
GET,29629.63,0.162,0.239,0.311,0.423
INCR,29629.63,0.177,0.287,0.359,0.503
