test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,32679.74,34818.94,38080.73,0.631,0.727,0.495
INCR,32626.43,35650.62,38197.10,0.607,0.719,0.503
SET,32552.08,31685.68,39619.65,0.655,0.807,0.535
PING_INLINE,33344.45,37313.43,42319.09,0.567,0.567,0.487
