test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,34602.07,0.168,0.343,0.455,0.711
SET,34364.26,0.149,0.279,0.423,0.623
GET,32467.53,0.153,0.335,0.471,0.839
INCR,36231.89,0.142,0.231,0.367,1.559
