t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,1,3,10604,10708
1698,3,3,6,6300,6300
3401,3,3,6,6424,6424
5119,4,3,7,6604,6604
6590,4,4,8,6880,6880
