t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
4,1,2,3,11328,11408
1749,3,3,6,6312,6312
3396,3,3,6,6332,6332
4876,3,3,6,6464,6464
6353,3,4,7,6672,6672
8026,4,4,8,7004,7004
