t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
4,2,1,3,13456,13456
1483,4,2,6,6284,6284
3033,4,2,6,6344,6344
4753,4,2,6,6512,6512
6475,4,3,7,6744,6744
