test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,31496.06,0.302,0.559,0.775,4.927
SET,36900.37,0.302,0.487,0.735,21.007
GET,39447.73,0.293,0.471,0.711,4.335
INCR,38759.69,0.292,0.439,0.535,21.087
