t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
2,2,2,4,12688,12688
1604,3,2,5,6448,6448
3316,4,2,6,6536,6536
5044,4,2,6,6856,6856
6688,4,3,7,6940,6940
