t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
2,1,2,3,15328,15480
1521,3,3,6,6448,6448
3061,3,3,6,6584,6584
4629,3,3,6,6792,6792
6290,3,3,6,6876,6876
7784,3,3,6,7220,7220
