t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
4,2,2,4,11340,11340
1510,3,3,6,6428,6428
3222,3,3,6,6488,6488
4936,3,4,7,6840,6840
6490,3,4,7,6928,6928
7957,4,4,8,7348,7348
