test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,28368.79,0.344,0.615,0.767,12.583
SET,36363.64,0.270,0.359,0.415,1.431
GET,35087.72,0.277,0.351,0.455,14.999
INCR,35650.62,0.270,0.351,0.407,6.007
