test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,17021.28,0.636,2.639,3.951,4.719
SET,18399.26,0.596,2.359,3.119,6.167
GET,17605.63,0.621,2.327,3.359,8.415
INCR,17730.50,0.625,2.343,3.103,5.319
