test,baseline_rps_avg,baseline_rps_min,baseline_rps_max,baseline_rps_std,default_noisy_rps_avg,default_noisy_rps_min,default_noisy_rps_max,default_noisy_rps_std,active_noisy_rps_avg,active_noisy_rps_min,active_noisy_rps_max,active_noisy_rps_std,baseline_p99_ms_avg,baseline_p99_ms_min,baseline_p99_ms_max,baseline_p99_ms_std,default_noisy_p99_ms_avg,default_noisy_p99_ms_min,default_noisy_p99_ms_max,default_noisy_p99_ms_std,active_noisy_p99_ms_avg,active_noisy_p99_ms_min,active_noisy_p99_ms_max,active_noisy_p99_ms_std
GET,32420.768,31250.000,33840.950,1045.460,42547.658,37105.750,50125.320,5527.894,36105.290,34364.260,39525.690,1982.489,0.615,0.511,0.647,0.059,0.490,0.447,0.519,0.036,0.527,0.503,0.559,0.021
INCR,31850.758,30165.910,34129.690,1737.020,42082.560,38461.540,47169.810,3495.061,36685.256,34482.760,40160.640,2136.093,0.604,0.479,0.743,0.100,0.573,0.455,0.727,0.111,0.532,0.503,0.559,0.028
PING_INLINE,32374.380,29717.680,35026.270,2360.119,39456.776,36166.370,45454.550,3775.257,36792.630,34423.410,38684.720,1574.257,0.629,0.567,0.719,0.068,0.567,0.503,0.679,0.069,0.561,0.487,0.631,0.060
SET,33566.910,31201.250,36968.570,2294.041,40586.490,33388.980,49019.610,5798.866,35991.946,34188.040,38387.710,1647.370,0.546,0.511,0.591,0.036,0.540,0.423,0.735,0.123,0.557,0.495,0.599,0.050
