"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","60994.20","0.296","0.088","0.271","0.519","0.791","3.135"
"GET","56038.11","0.344","0.080","0.263","0.543","0.823","49.695"
