"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","40535.06","0.417","0.144","0.351","0.711","1.095","5.351"
"GET","51190.17","0.332","0.104","0.263","0.615","0.791","3.975"
