test,baseline_rps_avg,baseline_rps_min,baseline_rps_max,baseline_rps_std,default_noisy_rps_avg,default_noisy_rps_min,default_noisy_rps_max,default_noisy_rps_std,active_noisy_rps_avg,active_noisy_rps_min,active_noisy_rps_max,active_noisy_rps_std,baseline_p99_ms_avg,baseline_p99_ms_min,baseline_p99_ms_max,baseline_p99_ms_std,default_noisy_p99_ms_avg,default_noisy_p99_ms_min,default_noisy_p99_ms_max,default_noisy_p99_ms_std,active_noisy_p99_ms_avg,active_noisy_p99_ms_min,active_noisy_p99_ms_max,active_noisy_p99_ms_std
GET,30769.230,30769.230,30769.230,0.000,36363.640,36363.640,36363.640,0.000,38095.240,38095.240,38095.240,0.000,0.479,0.479,0.479,0.000,0.287,0.287,0.287,0.000,0.223,0.223,0.223,0.000
INCR,20000.000,20000.000,20000.000,0.000,42105.270,42105.270,42105.270,0.000,34782.610,34782.610,34782.610,0.000,0.463,0.463,0.463,0.000,0.263,0.263,0.263,0.000,0.239,0.239,0.239,0.000
PING_INLINE,28571.430,28571.430,28571.430,0.000,29629.630,29629.630,29629.630,0.000,29629.630,29629.630,29629.630,0.000,0.431,0.431,0.431,0.000,0.255,0.255,0.255,0.000,0.431,0.431,0.431,0.000
SET,25806.450,25806.450,25806.450,0.000,26666.670,26666.670,26666.670,0.000,33333.330,33333.330,33333.330,0.000,0.471,0.471,0.471,0.000,0.351,0.351,0.351,0.000,0.271,0.271,0.271,0.000
