t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,1,2,3,15564,15776
1663,2,3,5,6444,6444
3229,2,3,5,6536,6536
4837,2,4,6,6688,6688
6679,2,4,6,6952,6952
