t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
2,2,1,3,14276,14276
1722,3,2,5,6428,6428
3316,3,2,5,6508,6508
4853,4,2,6,6652,6652
6454,4,3,7,6872,6872
