t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,2,4,11168,13216
1581,3,3,6,6392,6392
3112,3,3,6,6516,6516
4839,3,3,6,6732,6732
6362,3,3,6,7020,7020
8079,4,4,8,7488,7488
