test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,19960.08,0.592,0.823,2.383,4.535
SET,19379.85,0.621,2.311,4.071,6.183
GET,17137.96,0.728,2.367,4.055,6.423
INCR,17985.61,0.679,2.711,4.143,7.103
