"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","11682.24","3.902","0.520","3.783","6.807","8.935","42.687"
"GET","9966.78","4.255","0.272","2.551","12.287","15.431","27.199"
"INCR","6127.45","6.741","0.344","7.527","14.783","16.623","29.151"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","8412.79","5.334","0.288","3.991","13.631","15.751","18.319"
"GET","8351.89","5.531","0.328","4.463","13.135","16.991","24.063"
"INCR","17761.99","2.677","0.344","1.527","11.415","15.183","29.311"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","28116.21","1.550","0.232","1.375","2.983","3.631","15.527"
"GET","28846.15","1.512","0.400","1.351","2.959","4.735","17.503"
"INCR","27932.96","1.572","0.248","1.431","2.975","3.887","5.911"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32085.56","1.410","0.408","1.359","2.095","3.687","19.263"
"GET","34602.08","1.310","0.192","1.287","1.975","2.855","5.455"
"INCR","33333.34","1.403","0.344","1.351","2.167","3.415","7.167"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","26548.67","1.530","0.296","1.319","3.031","3.999","7.015"
"GET","33482.14","1.359","0.184","1.279","2.031","4.167","13.311"
"INCR","33370.41","1.326","0.192","1.255","2.023","3.303","9.935"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","30030.03","1.388","0.256","1.263","2.943","3.799","6.255"
"GET","28929.61","1.450","0.336","1.279","2.975","4.943","6.455"
"INCR","29585.80","1.489","0.320","1.271","3.471","4.215","7.039"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32154.34","1.360","0.328","1.255","1.959","3.583","19.375"
"GET","30120.48","1.424","0.392","1.239","2.927","4.959","16.271"
"INCR","32467.53","1.425","0.248","1.367","2.143","3.063","14.375"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","26857.65","1.530","0.408","1.327","3.015","3.959","16.095"
"GET","21676.30","1.702","0.184","1.295","3.071","4.039","19.439"
"INCR","26761.82","1.536","0.224","1.327","3.055","3.759","6.319"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","29498.53","1.421","0.272","1.303","2.975","3.359","7.311"
"GET","24979.18","1.808","0.400","1.743","3.039","3.991","7.415"
"INCR","23885.35","1.871","0.184","1.767","3.263","4.303","6.607"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","20949.72","2.009","0.280","1.751","3.919","4.975","6.727"
"GET","21834.06","1.920","0.280","1.599","3.639","4.551","6.367"
"INCR","21352.31","1.977","0.392","1.671","3.759","4.767","6.383"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","19710.91","2.128","0.328","1.943","4.159","4.887","7.407"
"GET","20026.70","2.073","0.344","1.759","4.055","4.895","20.367"
"INCR","20120.72","2.130","0.288","1.703","4.311","5.247","19.615"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","18564.36","2.259","0.256","2.031","4.343","5.503","19.055"
"GET","18575.85","2.109","0.384","1.935","4.071","5.223","17.727"
"INCR","18472.91","2.090","0.296","1.967","4.007","4.895","13.567"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","18416.21","2.125","0.240","1.959","4.135","5.079","6.583"
"GET","19672.13","2.071","0.264","1.743","4.343","5.423","10.031"
"INCR","32967.03","1.417","0.368","1.367","2.207","3.063","5.487"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","25231.29","1.605","0.400","1.383","3.055","4.295","6.399"
"GET","33745.78","1.300","0.376","1.255","1.911","3.023","6.103"
"INCR","33936.65","1.378","0.400","1.351","2.095","3.031","5.055"
