test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,5120.33,2.513,10.287,14.319,18.015
SET,9760.86,1.322,4.391,9.983,14.383
GET,7215.01,1.882,5.791,10.351,15.351
INCR,5577.25,2.151,9.055,13.703,27.327
