test,baseline_rps_avg,baseline_rps_min,baseline_rps_max,baseline_rps_std,default_noisy_rps_avg,default_noisy_rps_min,default_noisy_rps_max,default_noisy_rps_std,active_noisy_rps_avg,active_noisy_rps_min,active_noisy_rps_max,active_noisy_rps_std,baseline_p99_ms_avg,baseline_p99_ms_min,baseline_p99_ms_max,baseline_p99_ms_std,default_noisy_p99_ms_avg,default_noisy_p99_ms_min,default_noisy_p99_ms_max,default_noisy_p99_ms_std,active_noisy_p99_ms_avg,active_noisy_p99_ms_min,active_noisy_p99_ms_max,active_noisy_p99_ms_std
GET,38095.240,38095.240,38095.240,0.000,30769.230,30769.230,30769.230,0.000,53333.340,53333.340,53333.340,0.000,0.271,0.271,0.271,0.000,0.255,0.255,0.255,0.000,0.183,0.183,0.183,0.000
INCR,33333.330,33333.330,33333.330,0.000,32000.000,32000.000,32000.000,0.000,42105.270,42105.270,42105.270,0.000,0.303,0.303,0.303,0.000,0.263,0.263,0.263,0.000,0.239,0.239,0.239,0.000
PING_INLINE,32000.000,32000.000,32000.000,0.000,32000.000,32000.000,32000.000,0.000,34782.610,34782.610,34782.610,0.000,0.311,0.311,0.311,0.000,0.263,0.263,0.263,0.000,0.271,0.271,0.271,0.000
SET,32000.000,32000.000,32000.000,0.000,33333.330,33333.330,33333.330,0.000,44444.450,44444.450,44444.450,0.000,0.319,0.319,0.319,0.000,0.279,0.279,0.279,0.000,0.231,0.231,0.231,0.000
