test,baseline_rps_avg,baseline_rps_min,baseline_rps_max,baseline_rps_std,default_noisy_rps_avg,default_noisy_rps_min,default_noisy_rps_max,default_noisy_rps_std,active_noisy_rps_avg,active_noisy_rps_min,active_noisy_rps_max,active_noisy_rps_std,baseline_p99_ms_avg,baseline_p99_ms_min,baseline_p99_ms_max,baseline_p99_ms_std,default_noisy_p99_ms_avg,default_noisy_p99_ms_min,default_noisy_p99_ms_max,default_noisy_p99_ms_std,active_noisy_p99_ms_avg,active_noisy_p99_ms_min,active_noisy_p99_ms_max,active_noisy_p99_ms_std
GET,26666.670,26666.670,26666.670,0.000,42105.270,42105.270,42105.270,0.000,23529.410,23529.410,23529.410,0.000,0.431,0.431,0.431,0.000,0.367,0.367,0.367,0.000,0.367,0.367,0.367,0.000
INCR,29629.630,29629.630,29629.630,0.000,44444.450,44444.450,44444.450,0.000,30769.230,30769.230,30769.230,0.000,0.423,0.423,0.423,0.000,0.327,0.327,0.327,0.000,0.367,0.367,0.367,0.000
PING_INLINE,29629.630,29629.630,29629.630,0.000,28571.430,28571.430,28571.430,0.000,28571.430,28571.430,28571.430,0.000,0.295,0.295,0.295,0.000,0.423,0.423,0.423,0.000,0.319,0.319,0.319,0.000
SET,26666.670,26666.670,26666.670,0.000,50000.000,50000.000,50000.000,0.000,34782.610,34782.610,34782.610,0.000,0.423,0.423,0.423,0.000,0.319,0.319,0.319,0.000,0.303,0.303,0.303,0.000
