test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,8557.98,1.394,5.735,8.375,12.343
SET,33333.33,0.309,0.391,1.735,4.031
GET,34246.57,0.293,0.375,1.167,4.031
INCR,34662.04,0.290,0.375,0.927,3.327
