"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","1556.26","11.326","0.256","1.471","15.223","18.943","3000.319"
"GET","34562.21","1.178","0.360","1.023","1.791","2.623","19.727"
"INCR","34562.21","1.173","0.216","1.015","1.791","2.639","12.127"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32679.74","1.253","0.264","1.055","1.855","3.967","22.783"
"GET","33039.65","1.194","0.288","0.999","1.767","3.031","20.143"
"INCR","32894.74","1.409","0.216","1.295","2.151","3.855","20.767"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","30674.85","1.476","0.352","1.375","2.951","3.071","6.207"
"GET","34090.91","1.344","0.400","1.311","2.087","2.999","4.311"
"INCR","31712.47","1.443","0.392","1.343","2.935","3.767","8.919"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32822.76","1.359","0.368","1.303","2.071","3.103","7.471"
"GET","31982.94","1.404","0.384","1.335","2.911","3.063","4.167"
"INCR","31217.48","1.446","0.344","1.351","2.951","3.095","4.007"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32085.56","1.397","0.384","1.327","2.271","3.119","5.743"
"GET","24711.70","1.542","0.232","1.231","3.039","3.951","5.167"
"INCR","31678.99","1.395","0.240","1.335","2.247","3.087","5.343"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","22321.43","1.703","0.248","1.391","3.079","4.007","5.207"
"GET","30518.82","1.436","0.400","1.335","2.967","3.983","6.311"
"INCR","33259.42","1.310","0.392","1.255","1.975","3.039","5.143"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","30991.74","1.382","0.224","1.279","2.919","3.551","8.327"
"GET","33975.09","1.283","0.256","1.239","1.919","2.975","4.007"
"INCR","33296.34","1.342","0.408","1.279","1.991","3.303","6.975"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","34443.17","1.350","0.232","1.343","2.007","2.423","3.847"
"GET","30395.14","1.362","0.400","1.223","2.967","3.935","6.679"
"INCR","30425.96","1.369","0.304","1.231","2.951","3.287","12.287"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32930.84","1.321","0.392","1.263","1.951","3.271","6.327"
"GET","29556.65","1.474","0.344","1.359","2.975","3.095","6.383"
"INCR","30706.24","1.479","0.384","1.383","2.951","3.127","7.343"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","34965.04","1.411","0.384","1.383","2.135","2.511","5.935"
"GET","34090.91","1.405","0.392","1.359","2.159","3.127","5.543"
"INCR","31982.94","1.356","0.360","1.263","2.631","3.071","5.407"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","30211.48","1.404","0.408","1.271","2.967","4.023","6.343"
"GET","34129.69","1.337","0.248","1.295","1.999","3.847","6.319"
"INCR","32432.43","1.442","0.368","1.383","2.415","3.071","5.615"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","33632.29","1.367","0.376","1.343","2.047","3.055","4.343"
"GET","32786.88","1.428","0.376","1.383","2.279","3.383","6.303"
"INCR","28382.21","1.783","0.360","1.719","2.959","3.887","6.391"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","27372.26","1.834","0.376","1.759","3.015","4.183","11.799"
"GET","25041.74","1.840","0.264","1.663","3.407","4.287","5.671"
"INCR","22058.82","1.900","0.208","1.607","3.527","4.383","6.903"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","20242.92","1.973","0.424","1.807","3.671","4.143","5.407"
"GET","20718.23","2.033","0.360","1.839","3.943","4.711","6.071"
"INCR","21052.63","2.058","0.224","1.799","4.055","4.799","6.351"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","20013.34","2.109","0.256","1.911","4.175","5.039","7.687"
"GET","20338.98","2.076","0.232","1.879","4.039","4.711","7.479"
"INCR","20270.27","2.121","0.360","1.959","4.167","5.031","7.287"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","18656.72","2.116","0.392","1.975","4.063","5.239","7.895"
"GET","19442.64","2.085","0.376","1.879","4.127","4.999","7.167"
"INCR","18891.69","2.125","0.256","1.959","4.231","5.639","10.703"
