"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","37112.64","0.474","0.128","0.455","0.775","1.079","6.119"
"GET","37390.17","0.469","0.144","0.463","0.703","1.015","5.991"
