"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","48239.27","0.366","0.088","0.295","0.663","1.031","5.119"
"GET","50365.15","0.348","0.072","0.279","0.623","0.831","4.815"
