"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","58445.36","0.316","0.096","0.287","0.527","0.711","6.135"
"GET","60114.22","0.318","0.080","0.247","0.535","0.727","45.279"
