"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","41169.21","0.417","0.128","0.383","0.671","0.991","4.855"
"GET","39533.50","0.432","0.096","0.407","0.711","1.031","3.895"
