t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
4,1,2,3,12536,14584
1576,3,3,6,6420,6420
3217,3,3,6,6476,6476
4956,3,3,6,6840,6840
6616,3,4,7,6932,6932
8322,3,4,7,7404,7404
