t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,2,4,16164,16208
1666,3,3,6,6444,6444
3136,3,3,6,6528,6528
4610,3,3,6,6672,6672
6077,3,3,6,6900,6900
7813,3,3,6,7248,7248
