t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,2,4,8760,8760
1718,3,4,7,6428,6428
3191,3,4,7,6516,6516
4663,3,4,7,6664,6664
6378,3,4,7,6892,6892
7855,3,4,7,7276,7276
