"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","38363.17","0.469","0.080","0.471","0.687","1.015","1.807"
"GET","36231.88","0.495","0.144","0.479","0.839","1.143","2.031"
