test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,11267.61,1.170,2.847,4.079,7.143
SET,33557.05,0.309,0.551,1.015,3.975
GET,34305.32,0.295,0.375,1.663,4.559
INCR,33613.45,0.303,0.391,1.551,6.063
