t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
4,2,2,4,16404,16404
1478,3,2,5,6316,6316
3171,3,3,6,6412,6412
4788,3,3,6,6604,6604
6596,3,3,6,6944,6944
