t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
4,2,2,4,10616,10716
1731,3,3,6,6312,6312
3466,3,3,6,6360,6360
5090,3,4,7,6540,6540
6794,4,4,8,6776,6776
