t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,2,4,5660,5660
1652,3,4,7,6356,6356
3352,3,4,7,6460,6460
4880,3,4,7,6636,6636
6433,3,5,8,6908,6908
8049,4,5,9,7364,7364
