t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
4,3,2,5,6312,6408
1509,4,4,8,6352,6352
3015,4,4,8,6456,6456
4545,4,4,8,6644,6644
6119,5,4,9,6928,6928
7661,5,5,10,7032,7032
