t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
2,2,1,3,13400,13400
1520,3,2,5,6276,6276
2995,3,3,6,6348,6348
4504,4,3,7,6512,6512
6073,4,3,7,6796,6796
7718,4,3,7,7224,7224
