t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,2,4,15504,15504
1533,3,2,5,6308,6308
3250,4,2,6,6408,6408
4733,4,3,7,6596,6596
6547,4,3,7,6676,6676
