t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,2,4,15360,15540
1520,3,2,5,6316,6316
3031,3,3,6,6384,6384
4543,3,3,6,6552,6552
6017,3,3,6,6756,6756
7739,4,3,7,7164,7164
