t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,1,2,3,10320,10420
1796,3,3,6,6300,6300
3376,3,3,6,6400,6400
5165,3,3,6,6572,6572
6692,3,4,7,6832,6832
8164,4,4,8,7256,7256
