t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,2,4,15460,15460
1485,3,3,6,6284,6284
3083,3,3,6,6340,6340
4621,3,3,6,6516,6516
6245,3,3,6,6592,6592
7961,4,4,8,6900,6900
