test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,2008.68,4.655,6.207,11.975,3000.319
SET,6717.72,2.148,2.991,3.727,5.127
GET,8131.40,1.698,2.975,3.311,6.951
INCR,5968.72,2.466,2.999,3.671,6.335
