test,baseline_rps_avg,baseline_rps_min,baseline_rps_max,baseline_rps_std,default_noisy_rps_avg,default_noisy_rps_min,default_noisy_rps_max,default_noisy_rps_std,active_noisy_rps_avg,active_noisy_rps_min,active_noisy_rps_max,active_noisy_rps_std,baseline_p99_ms_avg,baseline_p99_ms_min,baseline_p99_ms_max,baseline_p99_ms_std,default_noisy_p99_ms_avg,default_noisy_p99_ms_min,default_noisy_p99_ms_max,default_noisy_p99_ms_std,active_noisy_p99_ms_avg,active_noisy_p99_ms_min,active_noisy_p99_ms_max,active_noisy_p99_ms_std
GET,32258.060,32258.060,32258.060,0.000,38461.540,38461.540,38461.540,0.000,32258.060,32258.060,32258.060,0.000,0.327,0.327,0.327,0.000,0.279,0.279,0.279,0.000,0.303,0.303,0.303,0.000
INCR,25641.030,25641.030,25641.030,0.000,37037.040,37037.040,37037.040,0.000,33333.340,33333.340,33333.340,0.000,0.391,0.391,0.391,0.000,0.263,0.263,0.263,0.000,0.343,0.343,0.343,0.000
PING_INLINE,31250.000,31250.000,31250.000,0.000,33333.340,33333.340,33333.340,0.000,32258.060,32258.060,32258.060,0.000,0.327,0.327,0.327,0.000,0.255,0.255,0.255,0.000,0.351,0.351,0.351,0.000
SET,33333.340,33333.340,33333.340,0.000,40000.000,40000.000,40000.000,0.000,32258.060,32258.060,32258.060,0.000,0.279,0.279,0.279,0.000,0.359,0.359,0.359,0.000,0.383,0.383,0.383,0.000
