test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,24154.59,0.408,0.655,0.799,31.151
SET,34965.04,0.279,0.351,0.423,16.463
GET,35842.29,0.267,0.343,0.399,0.919
INCR,34602.07,0.277,0.343,0.399,14.223
