test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,33112.59,0.156,0.295,0.415,0.631
SET,42918.46,0.139,0.247,0.383,0.743
GET,36630.04,0.141,0.271,0.407,0.703
INCR,29673.59,0.166,0.351,0.487,0.711
