t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
4,2,2,4,16072,16144
1512,3,3,6,6348,6348
2989,3,3,6,6364,6364
4454,3,3,6,6604,6604
5925,3,3,6,6680,6680
7577,4,3,7,7028,7028
