t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
2,2,2,4,11128,11224
1550,3,3,6,6300,6300
3285,3,3,6,6408,6408
4767,3,3,6,6588,6588
6261,4,3,7,6864,6864
7789,4,3,7,7324,7324
