t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,1,3,10644,10744
1523,3,2,5,6296,6296
3178,3,3,6,6352,6352
4810,4,3,7,6524,6524
6455,4,3,7,6600,6600
7973,4,3,7,6904,6904
