test,baseline_rps_avg,baseline_rps_min,baseline_rps_max,baseline_rps_std,default_noisy_rps_avg,default_noisy_rps_min,default_noisy_rps_max,default_noisy_rps_std,active_noisy_rps_avg,active_noisy_rps_min,active_noisy_rps_max,active_noisy_rps_std,baseline_p99_ms_avg,baseline_p99_ms_min,baseline_p99_ms_max,baseline_p99_ms_std,default_noisy_p99_ms_avg,default_noisy_p99_ms_min,default_noisy_p99_ms_max,default_noisy_p99_ms_std,active_noisy_p99_ms_avg,active_noisy_p99_ms_min,active_noisy_p99_ms_max,active_noisy_p99_ms_std
GET,32805.870,30165.910,37243.950,3866.470,40988.727,35778.180,46620.050,5433.169,39892.540,38684.720,41152.260,1234.588,0.578,0.487,0.647,0.082,0.551,0.367,0.759,0.197,0.447,0.415,0.495,0.042
INCR,34310.740,30959.750,39292.730,4399.404,48667.450,35211.270,66445.180,16059.145,38843.200,38240.920,39603.960,695.202,0.591,0.535,0.703,0.097,0.455,0.231,0.695,0.232,0.498,0.463,0.559,0.053
PING_INLINE,32980.097,30030.030,34722.220,2568.756,38040.047,31645.570,41322.310,5538.432,36567.253,35398.230,37807.180,1206.039,0.610,0.479,0.823,0.186,0.607,0.527,0.735,0.112,0.500,0.447,0.551,0.052
SET,33623.130,30721.960,36363.640,2824.269,39181.487,33840.950,44943.820,5563.440,38655.683,35650.620,41928.720,3147.617,0.575,0.511,0.623,0.058,0.519,0.463,0.631,0.097,0.490,0.415,0.543,0.067
