test,baseline_rps_avg,default_noisy_rps_avg,active_noisy_rps_avg,baseline_p99_ms_avg,default_noisy_p99_ms_avg,active_noisy_p99_ms_avg
GET,31250.000,34482.760,31250.000,0.279,0.319,0.343
INCR,40000.000,33333.340,34482.760,0.263,0.263,0.279
PING_INLINE,30303.030,31250.000,32258.060,0.319,0.303,0.335
SET,33333.340,31250.000,34482.760,0.335,0.407,0.271
